uuid,title,country_code,country,visits
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,CH,Switzerland,41
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,US,United States,25
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,ZA,South Africa,24
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,BE,Belgium,11
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,CN,China,8
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,SG,Singapore,7
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,FR,France,5
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,DE,Germany,3
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,BR,Brazil,2
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,GH,Ghana,2
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,NL,Netherlands,2
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,BG,Bulgaria,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,ES,Spain,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,HK,Hong Kong SAR China,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,ID,Indonesia,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,IE,Ireland,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,IT,Italy,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,MU,Mauritius,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,MW,Malawi,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,NG,Nigeria,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,PA,Panama,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,PH,Philippines,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,PK,Pakistan,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,RO,Romania,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,RU,Russia,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,SI,Slovenia,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,UG,Uganda,1
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,VN,Vietnam,1
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,US,United States,15
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,DE,Germany,11
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,CH,Switzerland,10
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,CN,China,9
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,SG,Singapore,9
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,FR,France,6
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,VN,Vietnam,5
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,CA,Canada,3
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,ES,Spain,3
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,IE,Ireland,3
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,KE,Kenya,3
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,TR,Turkey,3
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,UG,Uganda,3
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,GB,United Kingdom,2
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,IN,India,2
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,JP,Japan,2
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,AR,Argentina,1
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,AT,Austria,1
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,BE,Belgium,1
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,IQ,Iraq,1
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,IT,Italy,1
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,SE,Sweden,1
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,TW,Taiwan,1
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,UA,Ukraine,1
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,US,United States,13
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,BE,Belgium,10
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,DE,Germany,7
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,CN,China,6
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,CH,Switzerland,3
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,HU,Hungary,2
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,BR,Brazil,1
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,CA,Canada,1
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,FR,France,1
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,ID,Indonesia,1
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,KE,Kenya,1
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,RU,Russia,1
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,ZA,South Africa,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",US,United States,36
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",BE,Belgium,9
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",FR,France,5
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",CH,Switzerland,4
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",CN,China,4
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",DE,Germany,4
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",SG,Singapore,3
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",IE,Ireland,2
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",AL,Albania,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",BR,Brazil,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",EC,Ecuador,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",HK,Hong Kong SAR China,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",ID,Indonesia,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",IL,Israel,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",NZ,New Zealand,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",RU,Russia,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",SI,Slovenia,1
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",UA,Ukraine,1
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,CH,Switzerland,41
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,US,United States,30
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,SG,Singapore,12
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,GB,United Kingdom,5
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,NO,Norway,5
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,BE,Belgium,4
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,FR,France,4
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,CN,China,2
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,DE,Germany,2
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,MX,Mexico,2
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,CA,Canada,1
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,DO,Dominican Republic,1
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,EG,Egypt,1
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,HK,Hong Kong SAR China,1
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,IE,Ireland,1
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,IN,India,1
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,PL,Poland,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,CN,China,64
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,US,United States,16
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,CH,Switzerland,14
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,BE,Belgium,6
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,DE,Germany,6
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,FR,France,6
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,IT,Italy,5
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,CA,Canada,3
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,FI,Finland,3
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,ID,Indonesia,3
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,SG,Singapore,3
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,SI,Slovenia,3
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,IN,India,2
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,BR,Brazil,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,CM,Cameroon,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,FJ,Fiji,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,GB,United Kingdom,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,HK,Hong Kong SAR China,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,KE,Kenya,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,MX,Mexico,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,MZ,Mozambique,1
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,NL,Netherlands,1
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",US,United States,44
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",SG,Singapore,32
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",MW,Malawi,17
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",CH,Switzerland,13
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",BE,Belgium,8
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",AU,Australia,7
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",MX,Mexico,5
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",GB,United Kingdom,4
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",HK,Hong Kong SAR China,4
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",CA,Canada,3
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",DE,Germany,3
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",IE,Ireland,3
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",NZ,New Zealand,3
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",CN,China,2
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",IS,Iceland,2
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",PH,Philippines,2
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",AT,Austria,1
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",BR,Brazil,1
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",DK,Denmark,1
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",FR,France,1
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",JP,Japan,1
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",LB,Lebanon,1
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",ZA,South Africa,1
2305abe2-f4ff-49ab-9ab4-22f013a5996b,"As South Africa's cities burn: we can clean-up, but we cannot sweep away inequality",US,United States,61
2305abe2-f4ff-49ab-9ab4-22f013a5996b,"As South Africa's cities burn: we can clean-up, but we cannot sweep away inequality",KR,South Korea,12
2305abe2-f4ff-49ab-9ab4-22f013a5996b,"As South Africa's cities burn: we can clean-up, but we cannot sweep away inequality",DE,Germany,11
2305abe2-f4ff-49ab-9ab4-22f013a5996b,"As South Africa's cities burn: we can clean-up, but we cannot sweep away inequality",BE,Belgium,10
