item,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04
"""It is unbearable to breathe here"": air quality, open incineration, and misinformation in Blantyre, Malawi",0,0,0,0,0,0,2,0,1,1,3,1,1,0,1,2,0,1,2,2
"""The rich will always be able to dispose of their waste"": a view from the frontlines of municipal failure in Makhanda, South Africa",0,0,0,0,0,0,0,0,0,0,5,6,6,2,1,2,0,1,3,0
"""We are from there, that's our land"": contestation, maize, and the problemisation of waste at Blantyre, Malawi's Mzedi dumpsite",4,1,3,3,0,4,5,1,1,6,4,2,6,0,10,3,1,2,3,1
"""You need to dispose of them somewhere safe"": Covid-19, masks, and the pit latrine in Malawi and South Africa",0,0,0,2,2,2,2,0,2,4,1,0,3,8,1,1,0,1,15,0
“Everything continued as normal”: What happened to Africa’s wave of Covid-19 waste?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"“I have just accepted it”: Hierarchies of Power and Healthcare Waste Management Practices in Blantyre, Malawi",7,9,18,5,13,5,7,5,6,15,11,2,13,12,6,7,4,5,1,2
"“My Flight Arrives at 5 am, Can You Pick Me Up?”: The Gatekeeping Burden of the African Academic",0,0,0,0,0,0,0,0,0,0,6,2,3,4,6,4,3,35,110,3
“Where does it go?”: Perceptions and problems of riverine and marine litter amongst South Africa and Malawi’s urban poor,1,0,0,2,0,0,2,7,12,2,2,0,2,6,1,1,5,2,3,0
A sustainable alternative to traditional building materials: assessing stabilised soil blocks for performance and cost in Malawi,1,4,4,2,12,15,7,3,11,2,0,2,1,2,3,4,11,12,18,12
"Absorption Ångström Exponent Values to Identify Light-absorbing Carbonaceous Aerosol Sources in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Advancements in and Integration of Water, Sanitation, and Solid Waste for Low- and Middle-Income Countries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andere Wege für das Abwasser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
