uuid,title,total_downloads,total_visits,num_months_with_data,num_countries
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,96,183,7,28
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,0,102,7,24
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,0,51,7,13
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",47,78,7,18
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,64,134,7,17
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,46,152,7,22
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",76,167,7,23
2305abe2-f4ff-49ab-9ab4-22f013a5996b,"As South Africa's cities burn: we can clean-up, but we cannot sweep away inequality",122,167,7,23
402631b8-b99b-488d-b5d3-78519677720c,A sustainable alternative to traditional building materials: assessing stabilised soil blocks for performance and cost in Malawi,184,149,7,17
5454219d-cf60-47e6-8031-e3cba519ac2f,"The Development of a Recycled Plastic Wheel for Cardboard Collector Trollies - Improving the working conditions of informal cardboard recyclers in Durban, South Africa",86,370,7,30
4b1701f1-ea92-4834-85ab-fb5908128063,Humanitarian Sanitation Solution,134,377,7,30
5099cb44-12cc-4b1a-a002-837bf7b13da8,Black Carbon Monitor: Feasibility of a Low-Cost Application,56,87,7,20
0b8ee29c-b8a8-4aa1-abfd-095162f3c9cf,"“I have just accepted it”: Hierarchies of Power and Healthcare Waste Management Practices in Blantyre, Malawi",223,195,7,26
