item,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04
"bcsa: Data for source-apportionment of light absorbing carbon in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,10,1,3,0,8,7,3,8,9,7
Land use in the Seychelles – Rethinking the Sustainability of Tourism,0,0,0,0,0,0,0,67,54,37,44,35,47,42,58,45,44,54,53,17
Self-cleaning Preliminary Screening Mechanisms to Improve Health and Wastewater Treatment Efficiency in Low-income Countries,4,9,11,13,11,17,15,11,11,13,12,14,12,9,11,6,8,17,8,1
Andere Wege für das Abwasser,0,0,0,0,2,3,1,1,4,6,4,2,3,2,0,4,8,0,4,3
Barriers to Waste Management Services Integration for Ethiopian and Eritrean Migrants within the City of Zürich,0,10,4,0,5,11,3,3,1,2,4,2,2,1,1,1,1,1,6,2
Experimental Optimization of a Peristaltic Pump Prototype for Pit-Emptying,0,0,0,0,0,3,31,36,30,28,20,25,18,9,7,11,15,7,16,3
Thermal Analysis and Optimization Potential of Clamp Kilns for Fired Clay Brick Production,0,0,0,0,0,0,0,17,15,20,9,17,16,12,11,6,7,6,10,4
The Establishment of an Absorbent Hygiene Product Waste Collection System in Two Informal Settlements in South Africa,0,0,0,0,0,0,0,37,41,16,12,11,21,24,4,9,14,7,23,3
"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",0,0,0,0,0,0,0,0,0,0,51,21,5,4,7,10,8,8,11,8
biogasoutcomesmalawi: Data for 61 semi-structured interviews with biogas owners in Malawi,0,0,0,0,0,0,0,0,0,0,8,3,2,5,3,2,1,3,3,1
"Development of a Low-Cost Incinerator in Cape Maclear, Malawi",0,0,0,0,0,0,0,0,0,0,14,25,36,24,8,16,31,18,15,4
Energy production of Black Soldier Fly Larvae: Measuring the temperature increase in air induced by Black Soldier Flies throughout their larval stages,4,7,30,12,11,7,5,11,16,38,34,108,24,23,12,11,5,9,19,6
"Urine Collection Trolley for Informal Markets in Durban, South Africa",10,5,6,8,11,3,3,20,12,5,4,5,7,6,3,6,2,2,12,1
Designing a small-scale screw press for blackwater dewatering,9,9,14,20,13,8,10,16,11,3,4,8,7,7,1,7,6,6,11,4
